ds,yhat,yhat_lower,yhat_upper
2023-08-18,1229.7066072010296,1193.8315869174774,1265.8224116333472
2023-08-21,1230.5237092201073,1195.47633350385,1267.2277308438966
2023-08-22,1223.9836711183566,1186.1093006906606,1261.2104336285129
2023-08-23,1223.9864865684947,1185.7565424552554,1260.9307710684236
2023-08-24,1222.665433287684,1187.0279133676643,1259.8478814339644
2023-08-25,1223.1788628796521,1183.8514071004902,1258.0133411709364
2023-08-28,1221.68628574305,1183.9217929322676,1257.1591996299283
2023-08-29,1215.1462476413,1177.8766703142426,1249.775463817107
2023-08-30,1215.149063091441,1176.4491663924198,1253.0498761941378
2023-08-31,1213.8280098106222,1177.4403868041604,1250.847422116555
2023-09-01,1214.3414394026058,1177.6742616931813,1253.1563582431977
2023-09-04,1212.8488622659936,1174.2637720260047,1248.5204792940465
2023-09-05,1206.3088241642558,1168.6009544154297,1242.391313656425
2023-09-06,1206.311639614387,1168.5052151827456,1243.466873361072
2023-09-07,1204.9905863335773,1164.9884229804054,1242.9130504895543
2023-09-08,1205.5040159255595,1167.6628530137446,1241.9908410499122
2023-09-11,1204.0114387889537,1168.5632387865123,1243.0161587064713
2023-09-12,1197.471400687199,1160.5251529813547,1236.862206757297
2023-09-13,1197.4742162149596,1162.4099373215013,1232.143041291527
2023-09-14,1196.1531630117724,1157.433980620157,1233.0785058278057
2023-09-15,1196.6665926813855,1159.2979387745559,1235.7094183108434
2023-09-18,1195.1740157776567,1159.8031477508314,1234.0790281490463
2023-09-20,1188.6367932812955,1150.7510200215916,1225.914681748141
2023-09-21,1187.3157400781063,1146.8218694909997,1224.4403848240358
2023-09-22,1187.8291697477077,1149.7064082581637,1225.169995760182
2023-09-25,1186.3365928439846,1150.0458083582062,1223.3278235480577
2023-09-26,1179.7965548198606,1141.7179431707564,1217.963805997153
2023-09-27,1179.7993703476232,1144.5648660617064,1215.5587247497583
2023-09-28,1178.47831714444,1138.76756632,1215.105712210551
2023-09-29,1178.9917468140325,1144.1418534692239,1217.2593220531132
2023-10-03,1170.9591318861892,1132.4790038965327,1208.754632164455
2023-10-04,1170.9619474139593,1132.263769753704,1206.3302576848141
2023-10-05,1169.640894210774,1133.1270504134545,1206.138151758385
2023-10-06,1170.1543238803713,1132.3537962640357,1209.56259806948
2023-10-09,1169.3854802110268,1130.8193098798963,1206.7885969922177
2023-10-10,1163.0866865983455,1126.563059911772,1200.8191452989645
2023-10-11,1163.330746537565,1128.2798148488957,1202.1841075507405
2023-10-12,1162.2509377458366,1125.9863972559683,1199.9397694572672
2023-10-13,1163.0056118268847,1125.743711631883,1201.2865501940635
2023-10-16,1162.2367681575465,1120.8772830761125,1200.4867491040095
2023-10-17,1155.9379745448653,1116.9458361159327,1192.0578399792055
2023-10-18,1156.1820344840921,1119.1377848608363,1192.3524253125945
2023-10-19,1155.102225692364,1117.111663012761,1192.4977898801699
2023-10-20,1155.8568997734146,1116.0999405135485,1190.6612707177362
2023-10-23,1155.0880561040667,1119.4447661467873,1190.6088251594358
2023-10-25,1149.033322430619,1111.2012045632182,1186.8499118392917
2023-10-26,1147.9535136388827,1111.4977575895512,1184.9161730272292
2023-10-27,1148.7081877199373,1109.9838771398631,1183.342333154465
2023-10-30,1147.9393440505867,1110.3969035917962,1183.4916226722758
2023-10-31,1143.9606259571444,1106.0592954359518,1181.631488234517
2023-11-01,1146.5247614155965,1108.0733265996446,1181.6036802327346
2023-11-02,1147.7650281431038,1108.672043594333,1184.4778719150002
2023-11-03,1150.83977774338,1114.1687368170742,1190.2056311926276
2023-11-06,1157.0311606317148,1120.4604912257307,1194.424924207911
2023-11-07,1153.0524425382757,1115.9860770104938,1189.4376980750465
2023-11-08,1155.6165779967328,1120.453874028943,1191.8615350908474
2023-11-09,1156.8568447242276,1122.348961794556,1197.8277508581511
2023-11-10,1159.9315943245122,1116.6934715798752,1195.1192345682696
2023-11-13,1166.1229772128445,1125.849724936485,1202.1840792591045
2023-11-15,1164.708394577861,1127.6048606089644,1202.5478372904097
2023-11-16,1165.9486613053618,1129.51517622444,1204.992664451025
2023-11-17,1169.0234109056512,1130.9251091272877,1207.2710709033122
2023-11-20,1175.2147937939899,1138.2373348428118,1215.1719393113929
2023-11-21,1171.2360757005379,1133.8456406230607,1209.0640943539856
2023-11-22,1173.8002111589924,1135.8669708471218,1209.6312634602966
2023-11-23,1176.8676670421214,1139.1872335028565,1212.4019917898627
2023-11-24,1181.7696057980404,1143.6783793740142,1219.7912390811673
2023-11-28,1191.2910272154575,1152.5742280610134,1233.151558477521
2023-11-29,1195.6823518295469,1159.001812383996,1230.9448969601685
2023-11-30,1198.749807712672,1162.930767590778,1233.0807514652645
2023-12-01,1203.6517464685924,1165.9326385265497,1240.9914710665253
2023-12-04,1215.324696823829,1177.431462587379,1254.9491942032746
2023-12-05,1213.1731678860137,1175.3780284465909,1251.6652590254282
2023-12-06,1217.5644925000977,1179.041315376341,1257.73419443355
2023-12-07,1220.631948383235,1180.7967090720133,1258.5676957215285
2023-12-08,1225.5338871391473,1185.500393445682,1265.1740778705432
2023-12-11,1237.20683749438,1200.838409370218,1275.5858956159607
2023-12-12,1235.055308556573,1196.961044622663,1272.6696015698044
2023-12-13,1239.4466331706521,1204.6752678414464,1274.7253920430996
2023-12-14,1242.5140890537855,1207.401408676371,1279.0344527253155
2023-12-15,1247.4160278097092,1210.661126310298,1282.8393067800255
2023-12-18,1259.4182120216735,1219.6888956761807,1297.4568710583078
2023-12-19,1257.3764277027833,1220.4323891378579,1292.88235779597
2023-12-20,1261.8774969357787,1226.0121145494354,1300.2505033931138
2023-12-21,1265.054697437824,1225.139095567786,1301.1133571124262
2023-12-22,1270.0663808126658,1232.146095706623,1308.5939430221508
2023-12-26,1280.0267807057298,1242.3718924683178,1319.360125835177
2023-12-27,1284.527849938728,1247.3483174509538,1319.9756939528772
2023-12-28,1287.7050504407716,1250.6752546293012,1328.9043750765322
2023-12-29,1292.7167338156087,1255.9765515203028,1332.5813915639924
2024-01-01,1304.7189180275661,1267.7131217184026,1340.9673298009343
2024-01-02,1302.677133708686,1264.1908254844875,1337.7810123140441
2024-01-03,1307.1782029416818,1267.0155784208985,1343.5617208832473
2024-01-04,1310.3554034437236,1272.9837058654152,1348.5424968826223
2024-01-05,1315.3670868185418,1277.0975280217144,1354.7234701886644
2024-01-08,1327.3692710305297,1289.8709549695268,1366.2728338696047
2024-01-09,1325.3274866364538,1288.7854955688028,1363.679620081607
2024-01-10,1329.8285557942643,1291.842777657098,1369.2722115974193
2024-01-11,1333.0057562211266,1295.1721754252087,1372.280523476012
2024-01-12,1338.0174395207755,1301.3190095460716,1373.4919712232893
2024-01-15,1350.0196235072112,1314.1977405327207,1385.6099212979684
2024-01-16,1347.9778391131376,1311.0019154124595,1388.2465977689576
2024-01-17,1352.478908270953,1319.1188489174906,1390.4817021024835
2024-01-18,1355.6561086978131,1316.0875919258706,1390.1478662511045
2024-01-19,1360.6677919974672,1324.1160593588152,1397.646746893298
2024-01-23,1370.6281915898192,1333.871567823192,1407.2698943810879
2024-01-24,1375.129260747634,1338.1451404772245,1412.8992504593064
2024-01-25,1378.3064611744935,1339.6386892039868,1417.8774179583702
2024-01-29,1395.3203284605918,1354.2449222511943,1432.2848674795969
2024-01-30,1393.2785440665004,1355.221192988131,1431.0128631038144
2024-01-31,1397.779613224318,1358.4346276059043,1433.4563935624492
2024-02-01,1400.9568136511896,1365.2837392142064,1439.6524915245943
2024-02-02,1404.8946691027024,1368.0167876738353,1443.7796671137485
2024-02-05,1413.6753695447344,1374.6063907858431,1448.4986869976246
2024-02-06,1410.5597573025118,1371.5707981565208,1448.6561284496167
2024-02-07,1413.986998612195,1377.123001790087,1449.8790863719955
2024-02-08,1416.0903711909277,1378.2053201257438,1451.355533161462
2024-02-09,1420.0282266424354,1384.0747613507367,1456.7809688050509
2024-02-12,1428.8089270844748,1391.9394349379427,1467.1341459202586
2024-02-13,1425.6933148422534,1388.7650190168654,1461.434868265198
2024-02-14,1429.1205561519419,1390.378603893788,1466.897952492664
2024-02-15,1431.2239287306722,1393.9957283436058,1469.9872405961598
2024-02-16,1435.1617841821849,1398.5451553785228,1473.61015985195
2024-02-19,1443.9424846242134,1405.716439868936,1479.0643532434376
2024-02-20,1440.8268723820024,1403.9843088663956,1476.1236293161692
2024-02-21,1444.2541136916884,1410.3227377939256,1485.9236831780518
2024-02-22,1446.3574862704104,1410.957154440698,1482.9662648414057
2024-02-23,1450.2953417219203,1410.353105859178,1489.3227134149363
2024-02-26,1452.3921464422076,1412.3258945879513,1490.8141068656332
2024-02-27,1447.0485689594143,1408.1712706895505,1484.4197546605415
2024-02-28,1448.247845028513,1412.1398038408408,1486.0961105814697
2024-02-29,1448.1232523666642,1409.745230874212,1485.311250004883
2024-03-01,1449.8331425775973,1416.3393988996327,1488.0700256608761
